,pickup_hour,pickup_weekday,average_fare,total_rides,total_fare,average_trip_distance,average_percent_tip
154,22,0,13.226244785852305,1897242,25093387.110000007,3.4236967081690204,16.888145401119356
155,22,1,13.421304851746235,2332150,31300496.109999973,3.235621825354297,17.344709751147445
156,22,2,13.370891496354382,2515086,33628942.00999995,3.2137927490352283,17.367955749951392
157,22,3,13.56609098505286,2667603,36188945.00999997,3.2466252212192166,17.17297476794965
158,22,4,13.037960510303455,2592575,33801890.469999984,3.0132431462927785,15.915019501605375
159,22,5,12.478291061438501,2391660,29843829.600000005,2.779626857496484,15.203054220222779
160,22,6,14.190419166518431,1484088,21059830.80000001,3.7689716917056315,15.313295200030177
161,23,0,14.151836745855254,1298209,18372041.830000006,3.795079251491875,16.02253080955851
162,23,1,13.51373112096503,1630711,22036989.990000006,3.4914594860769315,16.651749853564308
163,23,2,13.491702652766287,1863451,25141126.799999993,3.4125026630697466,16.768060879512568
164,23,3,13.75191565705792,2201678,30277290.15999997,3.3929957150864243,16.855194659372238
165,23,4,13.329257429356904,2465422,32862244.50999996,3.144302918526719,15.922084103279126
166,23,5,12.729326169053161,2398287,30528577.47,2.9078070264317546,15.432422456271675
167,23,6,15.157559937811966,1136553,17227370.220000006,4.178684196865433,14.654679354933029
